Tuesday 04/16/24 11:45 AM, 26 push-ups, 0 squats, 0 sit-ups
Tuesday 04/16/24 11:57 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 04/16/24 12:00 PM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 04/16/24 12:02 PM, 10 push-ups, 0 squats, 0 sit-ups
Tuesday 04/16/24 12:07 PM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 04/16/24 01:37 PM, 1 push-ups, 0 squats, 0 sit-ups
Tuesday 04/16/24 01:54 PM, 12 push-ups, 0 squats, 0 sit-ups
Wednesday 04/17/24 11:37 AM, 9 push-ups, 0 squats, 0 sit-ups
Wednesday 04/17/24 11:56 AM, 38 push-ups, 0 squats, 0 sit-ups
Wednesday 04/17/24 02:31 PM, 10 push-ups, 0 squats, 0 sit-ups
Wednesday 04/17/24 02:32 PM, 12 push-ups, 0 squats, 0 sit-ups
Wednesday 04/17/24 02:36 PM, 1 push-ups, 0 squats, 0 sit-ups
Wednesday 04/17/24 02:37 PM, 2 push-ups, 0 squats, 0 sit-ups
Wednesday 04/17/24 03:46 PM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 04/23/24 11:01 AM, 10 push-ups, 0 squats, 0 sit-ups
Tuesday 04/23/24 12:19 PM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 09:11 AM, 5 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 09:22 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:30 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:32 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:35 AM, 13 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:37 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:38 AM, 6 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:40 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:40 AM, 6 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:43 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:44 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:46 AM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:48 AM, 1 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:53 AM, 20 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 10:56 AM, 12 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 12:15 PM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 01:26 PM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 01:27 PM, 30 push-ups, 0 squats, 0 sit-ups
Tuesday 05/21/24 01:31 PM, 2 push-ups, 0 squats, 0 sit-ups
Wednesday 05/22/24 10:46 AM, 2 push-ups, 0 squats, 0 sit-ups
Wednesday 05/22/24 11:58 AM, 2 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 09:50 AM, 1 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 10:28 AM, 1 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 11:38 AM, 2 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 01:54 PM, 2 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 01:55 PM, 2 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 01:57 PM, 2 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 01:58 PM, 2 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 01:59 PM, 2 push-ups, 0 squats, 0 sit-ups
Thursday 05/23/24 02:20 PM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 08:56 AM, 2 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:02 AM, 2 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:07 AM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:08 AM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:15 AM, 0 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:16 AM, 5 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:17 AM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:19 AM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:20 AM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:23 AM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:25 AM, 2 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:28 AM, 2 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:33 AM, 2 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 10:58 AM, 1 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 11:49 AM, 10 push-ups, 0 squats, 0 sit-ups
Monday 06/03/24 02:21 PM, 2 push-ups, 0 squats, 0 sit-ups
Tuesday 06/04/24 10:21 AM, 1 push-ups, 10 squats, 0 sit-ups
Tuesday 06/04/24 10:26 AM, 10 push-ups, 0 squats, 0 sit-ups
